Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,505.899994,511.500000,498.299988,499.950012,499.950012,27943077
2022-02-18,498.000000,502.649994,491.500000,493.149994,493.149994,15476803
2022-02-21,490.149994,500.399994,486.100006,494.450012,494.450012,22592161
2022-02-22,480.549988,486.299988,471.450012,478.250000,478.250000,27957544
2022-02-23,481.750000,485.399994,475.299988,477.000000,477.000000,17703998
2022-02-24,455.950012,461.549988,405.450012,427.950012,427.950012,57265685
2022-02-25,444.850006,465.700012,441.600006,459.750000,459.750000,48876182
2022-02-28,445.000000,457.350006,440.450012,454.049988,454.049988,34475468
2022-03-02,452.950012,454.250000,444.549988,447.600006,447.600006,25791134
2022-03-03,458.500000,458.500000,435.000000,437.100006,437.100006,29599672
2022-03-04,431.850006,431.850006,414.750000,417.250000,417.250000,38765185
2022-03-07,401.750000,401.750000,387.500000,394.000000,394.000000,44836205
2022-03-08,390.500000,395.450012,376.350006,391.750000,391.750000,55543383
2022-03-09,394.950012,409.250000,389.500000,405.899994,405.899994,48376222
2022-03-10,427.000000,434.950012,414.000000,419.600006,419.600006,59776817
2022-03-11,413.600006,421.149994,407.399994,418.149994,418.149994,51510243
2022-03-14,418.750000,419.000000,404.000000,411.700012,411.700012,40721277
2022-03-15,409.850006,424.200012,408.000000,413.649994,413.649994,47706136
2022-03-16,427.049988,428.549988,420.700012,424.899994,424.899994,27191170
2022-03-17,432.000000,435.700012,429.549988,433.799988,433.799988,26704541
2022-03-21,435.500000,436.299988,427.100006,427.950012,427.950012,18270995
2022-03-22,428.100006,441.450012,421.200012,440.350006,440.350006,30441493
2022-03-23,443.500000,447.000000,434.600006,435.799988,435.799988,25466395
2022-03-24,430.000000,435.399994,427.549988,433.200012,433.200012,17109723
2022-03-25,437.000000,437.000000,427.649994,432.100006,432.100006,15104414
2022-03-28,432.000000,434.950012,426.500000,432.700012,432.700012,16757901
2022-03-29,436.000000,439.350006,431.399994,433.700012,433.700012,18710736
2022-03-30,438.450012,442.500000,434.250000,435.649994,435.649994,18149488
2022-03-31,436.000000,438.299988,432.600006,433.750000,433.750000,14248045
2022-04-01,434.000000,442.250000,430.850006,441.149994,441.149994,19380324
2022-04-04,444.399994,449.500000,441.299988,446.750000,446.750000,18657201
2022-04-05,450.000000,461.899994,448.299988,458.049988,458.049988,28530470
2022-04-06,455.899994,462.700012,452.600006,456.149994,456.149994,24974477
2022-04-07,456.500000,459.100006,448.500000,449.500000,449.500000,19950241
2022-04-08,450.000000,456.250000,449.700012,452.049988,452.049988,16315704
2022-04-11,457.000000,458.899994,451.000000,452.049988,452.049988,14339854
2022-04-12,450.799988,450.799988,435.000000,438.299988,438.299988,22698696
2022-04-13,441.799988,442.850006,430.100006,431.049988,431.049988,16817981
2022-04-18,430.000000,436.350006,423.649994,433.799988,433.799988,15298361
2022-04-19,436.750000,440.250000,417.000000,424.950012,424.950012,12669041
2022-04-20,431.000000,441.700012,428.250000,440.549988,440.549988,19639290
2022-04-21,444.500000,449.350006,441.049988,448.049988,448.049988,14124872
2022-04-22,442.049988,447.250000,438.000000,438.850006,438.850006,14362036
2022-04-25,432.750000,436.000000,423.149994,425.149994,425.149994,14729009
2022-04-26,433.899994,437.450012,431.600006,434.899994,434.899994,13577513
2022-04-27,429.250000,432.950012,425.100006,430.250000,430.250000,13701069
2022-04-28,434.799988,439.200012,430.799988,436.049988,436.049988,13875650
2022-04-29,440.200012,447.750000,436.000000,437.600006,437.600006,21991752
2022-05-02,437.950012,442.950012,428.500000,432.850006,432.850006,18945234
2022-05-04,437.950012,440.600006,420.700012,423.500000,423.500000,14934742
2022-05-05,429.000000,434.000000,423.700012,426.299988,426.299988,12240729
2022-05-06,418.850006,420.200012,407.000000,408.549988,408.549988,25142225
2022-05-09,407.149994,407.399994,395.000000,403.950012,403.950012,18076956
2022-05-10,400.000000,408.500000,389.600006,391.750000,391.750000,16540303
2022-05-11,396.000000,397.000000,377.549988,388.149994,388.149994,29215175
2022-05-12,382.000000,384.649994,366.200012,372.299988,372.299988,33511538
2022-05-13,387.000000,419.350006,387.000000,404.299988,404.299988,71425747
2022-05-16,411.899994,411.899994,396.250000,405.350006,405.350006,24938704
2022-05-17,408.399994,425.649994,405.000000,424.149994,424.149994,24651585
2022-05-18,424.000000,427.350006,414.049988,415.149994,415.149994,20490516
2022-05-19,400.000000,406.799988,396.200012,398.649994,398.649994,17706724
2022-05-20,410.000000,421.399994,410.000000,418.000000,418.000000,23504236
2022-05-23,421.649994,431.149994,419.549988,421.450012,421.450012,16345308
2022-05-24,423.899994,427.500000,416.000000,425.750000,425.750000,14525617
2022-05-25,428.450012,429.000000,413.450012,417.000000,417.000000,13540006
2022-05-26,422.000000,422.649994,405.000000,420.649994,420.649994,17712299
2022-05-27,426.049988,433.250000,425.200012,429.600006,429.600006,16867431
2022-05-30,437.000000,445.200012,436.000000,442.399994,442.399994,18500266
2022-05-31,443.950012,449.500000,440.399994,443.549988,443.549988,22308219
2022-06-01,445.100006,446.000000,439.600006,444.600006,444.600006,11930669
2022-06-02,445.000000,445.600006,435.649994,439.149994,439.149994,12742438
2022-06-03,444.899994,445.049988,430.500000,431.899994,431.899994,12780122
2022-06-06,427.899994,433.950012,424.600006,432.350006,432.350006,11896105
2022-06-07,432.500000,438.200012,429.100006,435.850006,435.850006,11153869
2022-06-08,438.700012,440.399994,432.000000,435.649994,435.649994,12844475
2022-06-09,431.899994,435.649994,426.100006,428.500000,428.500000,13043367
2022-06-10,423.000000,428.850006,422.000000,428.049988,428.049988,11914234
2022-06-13,414.899994,418.149994,405.600006,406.700012,406.700012,17442641
2022-06-14,403.000000,411.850006,397.700012,405.149994,405.149994,19626627
2022-06-15,410.000000,416.399994,407.450012,414.100006,414.100006,15192826
2022-06-16,420.000000,420.899994,390.100006,392.950012,392.950012,22261032
2022-06-17,387.950012,394.450012,382.649994,388.950012,388.950012,24824899
2022-06-20,390.549988,392.950012,376.649994,382.700012,382.700012,17049013
2022-06-21,389.000000,399.000000,387.000000,397.600006,397.600006,14743366
2022-06-22,396.399994,397.000000,390.500000,393.100006,393.100006,12426604
2022-06-23,396.299988,409.899994,394.549988,407.200012,407.200012,26514004
2022-06-24,410.000000,412.850006,406.149994,409.299988,409.299988,14806456
2022-06-27,417.549988,419.450012,412.350006,414.500000,414.500000,12018949
2022-06-28,411.299988,418.200012,409.149994,417.100006,417.100006,13238339
2022-06-29,412.049988,419.899994,411.549988,416.950012,416.950012,13104313
2022-06-30,418.299988,424.000000,410.000000,411.799988,411.799988,20121916
2022-07-01,410.649994,414.600006,402.299988,412.700012,412.700012,14725989
2022-07-04,411.549988,414.899994,405.000000,408.450012,408.450012,11525133
2022-07-05,415.000000,418.799988,410.200012,412.000000,412.000000,16771012
2022-07-06,414.000000,417.299988,410.649994,416.350006,416.350006,12196920
2022-07-07,419.899994,432.950012,419.299988,430.850006,430.850006,17616800
2022-07-08,436.250000,443.850006,429.299988,441.549988,441.549988,23730027
2022-07-11,438.049988,441.200012,433.450012,437.049988,437.049988,12619654
2022-07-12,433.000000,435.000000,428.149994,430.549988,430.549988,9518822
2022-07-13,432.700012,435.850006,425.649994,427.100006,427.100006,10181698
2022-07-14,428.000000,431.250000,423.299988,428.049988,428.049988,10744547
2022-07-15,430.649994,441.750000,429.700012,440.200012,440.200012,15774084
2022-07-18,443.950012,453.799988,443.200012,450.899994,450.899994,21185764
2022-07-19,446.750000,451.850006,444.450012,449.049988,449.049988,11553440
2022-07-20,454.350006,460.750000,451.750000,453.450012,453.450012,17154184
2022-07-21,452.950012,455.500000,450.100006,454.850006,454.850006,10931800
2022-07-22,456.600006,459.950012,452.299988,454.899994,454.899994,10340910
2022-07-25,456.000000,457.600006,446.299988,449.549988,449.549988,12505062
2022-07-26,448.700012,448.700012,439.750000,441.149994,441.149994,11563528
2022-07-27,441.149994,445.000000,436.100006,444.049988,444.049988,10081023
2022-07-28,440.250000,449.250000,427.399994,442.250000,442.250000,36380444
2022-07-29,445.149994,452.700012,445.149994,449.600006,449.600006,16004096
2022-08-01,451.950012,481.000000,451.049988,479.200012,479.200012,43084536
2022-08-02,478.899994,479.899994,469.250000,476.250000,476.250000,19065689
2022-08-03,475.000000,476.250000,459.600006,467.799988,467.799988,19125906
2022-08-04,473.149994,473.950012,456.450012,468.899994,468.899994,18540405
2022-08-05,468.899994,472.899994,464.000000,465.250000,465.250000,11917799
2022-08-08,466.000000,471.899994,464.450012,468.250000,468.250000,10561754
2022-08-10,470.000000,477.200012,463.350006,475.549988,475.549988,13360759
2022-08-11,482.549988,485.000000,475.600006,476.649994,476.649994,12777503
2022-08-12,475.750000,481.450012,470.000000,477.549988,477.549988,13482890
2022-08-16,479.600006,491.399994,478.200012,489.850006,489.850006,16796376
2022-08-17,490.899994,494.399994,484.200012,485.399994,485.399994,15948755
2022-08-18,484.000000,486.799988,479.250000,484.799988,484.799988,12070974
2022-08-19,486.750000,488.100006,468.100006,471.000000,471.000000,16636593
2022-08-22,468.500000,468.950012,452.549988,454.600006,454.600006,15050653
2022-08-23,449.000000,462.100006,447.600006,460.450012,460.450012,17779238
2022-08-24,459.000000,464.899994,457.700012,463.200012,463.200012,12214113
2022-08-25,466.000000,468.799988,457.399994,459.200012,459.200012,11255809
2022-08-26,465.000000,470.450012,463.950012,465.049988,465.049988,11252560
2022-08-29,451.000000,456.899994,450.149994,453.350006,453.350006,11647725
2022-08-30,458.649994,472.399994,457.100006,471.100006,471.100006,14421066
2022-09-01,462.500000,474.399994,462.149994,466.899994,466.899994,13385159
2022-09-02,470.850006,471.799988,460.149994,461.750000,461.750000,10806707
2022-09-05,459.750000,463.950012,457.000000,459.000000,459.000000,9378108
2022-09-06,462.700012,463.700012,456.600006,457.750000,457.750000,9805875
2022-09-07,453.200012,456.500000,443.649994,445.850006,445.850006,20764508
2022-09-08,452.450012,452.549988,440.000000,442.200012,442.200012,19336014
2022-09-09,447.500000,449.649994,440.600006,445.899994,445.899994,14294289
2022-09-12,447.700012,453.000000,447.000000,451.000000,451.000000,8962633
2022-09-13,454.299988,458.950012,453.549988,456.799988,456.799988,10661280
2022-09-14,447.600006,454.700012,447.000000,450.200012,450.200012,10360461
2022-09-15,452.399994,455.850006,446.049988,447.250000,447.250000,10356713
2022-09-16,446.000000,446.399994,429.100006,432.500000,432.500000,20992324
2022-09-19,431.500000,431.600006,424.049988,425.450012,425.450012,15236142
2022-09-20,430.600006,443.350006,430.600006,434.250000,434.250000,17557661
2022-09-21,433.950012,436.000000,425.500000,427.649994,427.649994,10831068
2022-09-22,425.000000,434.600006,422.549988,432.200012,432.200012,13600786
2022-09-23,431.899994,431.899994,420.549988,423.100006,423.100006,13441609
2022-09-26,416.000000,417.899994,393.149994,397.500000,397.500000,33230938
2022-09-27,403.899994,404.000000,390.350006,398.799988,398.799988,21932747
2022-09-28,394.899994,406.600006,392.850006,399.100006,399.100006,18114880
2022-09-29,411.000000,413.250000,399.600006,402.250000,402.250000,20725995
2022-09-30,398.000000,408.250000,392.500000,404.600006,404.600006,20951277
